iter	Passed	Remaining
901	2235	242
902	2236	240
903	2238	237
904	2239	235
905	2241	232
906	2242	229
907	2244	227
908	2245	224
909	2247	222
910	2248	219
911	2251	217
912	2254	214
913	2257	212
914	2262	210
915	2264	207
916	2271	205
917	2275	203
918	2278	200
919	2281	198
920	2283	195
921	2287	193
922	2292	191
923	2299	189
924	2306	186
925	2308	184
926	2311	181
927	2313	179
928	2316	177
929	2318	174
930	2324	172
931	2336	170
932	2338	167
933	2340	165
934	2342	162
935	2344	160
936	2346	157
937	2351	155
938	2353	152
939	2356	150
940	2358	147
941	2360	145
942	2362	142
943	2364	140
944	2370	137
945	2372	135
946	2374	132
947	2378	130
948	2380	127
949	2383	125
950	2385	122
951	2387	120
952	2390	117
953	2392	115
954	2395	112
955	2398	110
956	2402	107
957	2409	105
958	2411	103
959	2413	100
960	2415	98
961	2417	95
962	2419	92
963	2424	90
964	2426	88
965	2429	85
966	2432	83
967	2434	80
968	2437	77
969	2439	75
970	2441	72
971	2445	70
972	2448	67
973	2452	65
974	2455	62
975	2457	60
976	2459	57
977	2460	55
978	2462	52
979	2463	50
980	2465	47
981	2467	45
982	2468	42
983	2471	40
984	2472	37
985	2474	35
986	2477	32
987	2479	30
988	2480	27
989	2482	25
990	2483	22
991	2485	20
992	2486	17
993	2487	15
994	2489	12
995	2490	10
996	2492	7
997	2493	4
998	2494	2
999	2496	0
